county,candidate,votes,district,party,office
Ashtabula,Betty Montgomery,15795,,R,Auditor of State
Athens,Betty Montgomery,8017,,R,Auditor of State
Auglaize,Betty Montgomery,10026,,R,Auditor of State
Belmont,Betty Montgomery,9480,,R,Auditor of State
Brown,Betty Montgomery,7645,,R,Auditor of State
Butler,Betty Montgomery,62058,,R,Auditor of State
Carroll,Betty Montgomery,5504,,R,Auditor of State
Champaign,Betty Montgomery,7703,,R,Auditor of State
Clark,Betty Montgomery,24826,,R,Auditor of State
Clermont,Betty Montgomery,31793,,R,Auditor of State
Clinton,Betty Montgomery,7654,,R,Auditor of State
Columbiana,Betty Montgomery,18219,,R,Auditor of State
Coshocton,Betty Montgomery,6643,,R,Auditor of State
Crawford,Betty Montgomery,9370,,R,Auditor of State
Cuyahoga,Betty Montgomery,178024,,R,Auditor of State
Darke,Betty Montgomery,12628,,R,Auditor of State
Defiance,Betty Montgomery,7019,,R,Auditor of State
Delaware,Betty Montgomery,30483,,R,Auditor of State
Erie,Betty Montgomery,15168,,R,Auditor of State
Fairfield,Betty Montgomery,28918,,R,Auditor of State
Fayette,Betty Montgomery,5000,,R,Auditor of State
Franklin,Betty Montgomery,173918,,R,Auditor of State
Fulton,Betty Montgomery,9705,,R,Auditor of State
Gallia,Betty Montgomery,5895,,R,Auditor of State
Geauga,Betty Montgomery,22735,,R,Auditor of State
Greene,Betty Montgomery,30530,,R,Auditor of State
Guernsey,Betty Montgomery,6995,,R,Auditor of State
Hamilton,Betty Montgomery,159504,,R,Auditor of State
Hancock,Betty Montgomery,15943,,R,Auditor of State
Hardin,Betty Montgomery,5706,,R,Auditor of State
Harrison,Betty Montgomery,3014,,R,Auditor of State
Henry,Betty Montgomery,6913,,R,Auditor of State
Highland,Betty Montgomery,7848,,R,Auditor of State
Hocking,Betty Montgomery,4718,,R,Auditor of State
Holmes,Betty Montgomery,4547,,R,Auditor of State
Huron,Betty Montgomery,10168,,R,Auditor of State
Jackson,Betty Montgomery,5942,,R,Auditor of State
Jefferson,Betty Montgomery,11325,,R,Auditor of State
Knox,Betty Montgomery,10325,,R,Auditor of State
Lake,Betty Montgomery,41197,,R,Auditor of State
Lawrence,Betty Montgomery,8397,,R,Auditor of State
Licking,Betty Montgomery,33901,,R,Auditor of State
Logan,Betty Montgomery,9596,,R,Auditor of State
Lorain,Betty Montgomery,44430,,R,Auditor of State
Lucas,Betty Montgomery,77742,,R,Auditor of State
Madison,Betty Montgomery,8091,,R,Auditor of State
Mahoning,Betty Montgomery,41023,,R,Auditor of State
Marion,Betty Montgomery,12037,,R,Auditor of State
Medina,Betty Montgomery,31944,,R,Auditor of State
Meigs,Betty Montgomery,4313,,R,Auditor of State
Mercer,Betty Montgomery,10746,,R,Auditor of State
Miami,Betty Montgomery,21511,,R,Auditor of State
Monroe,Betty Montgomery,2130,,R,Auditor of State
Montgomery,Betty Montgomery,102304,,R,Auditor of State
Morgan,Betty Montgomery,3118,,R,Auditor of State
Morrow,Betty Montgomery,6645,,R,Auditor of State
Muskingum,Betty Montgomery,15848,,R,Auditor of State
Noble,Betty Montgomery,2641,,R,Auditor of State
Ottawa,Betty Montgomery,10150,,R,Auditor of State
Paulding,Betty Montgomery,3771,,R,Auditor of State
Perry,Betty Montgomery,5573,,R,Auditor of State
Pickaway,Betty Montgomery,8642,,R,Auditor of State
Pike,Betty Montgomery,4040,,R,Auditor of State
Portage,Betty Montgomery,23875,,R,Auditor of State
Preble,Betty Montgomery,8258,,R,Auditor of State
Putnam,Betty Montgomery,8952,,R,Auditor of State
Richland,Betty Montgomery,23627,,R,Auditor of State
Ross,Betty Montgomery,11789,,R,Auditor of State
Sandusky,Betty Montgomery,12814,,R,Auditor of State
Scioto,Betty Montgomery,12075,,R,Auditor of State
Seneca,Betty Montgomery,11201,,R,Auditor of State
Shelby,Betty Montgomery,10323,,R,Auditor of State
Stark,Betty Montgomery,70858,,R,Auditor of State
Summit,Betty Montgomery,91387,,R,Auditor of State
Trumbull,Betty Montgomery,36283,,R,Auditor of State
Tuscarawas,Betty Montgomery,14887,,R,Auditor of State
Union,Betty Montgomery,9594,,R,Auditor of State
Van Wert,Betty Montgomery,6589,,R,Auditor of State
Vinton,Betty Montgomery,2301,,R,Auditor of State
Warren,Betty Montgomery,38293,,R,Auditor of State
Washington,Betty Montgomery,11194,,R,Auditor of State
Wayne,Betty Montgomery,21444,,R,Auditor of State
Williams,Betty Montgomery,7706,,R,Auditor of State
Wood,Betty Montgomery,27529,,R,Auditor of State
Wyandot,Betty Montgomery,4704,,R,Auditor of State
Adams,Helen Smith,2232,,D,Auditor of State
Allen,Helen Smith,7784,,D,Auditor of State
Ashland,Helen Smith,4239,,D,Auditor of State
Ashtabula,Helen Smith,10642,,D,Auditor of State
Athens,Helen Smith,7749,,D,Auditor of State
Auglaize,Helen Smith,3234,,D,Auditor of State
Belmont,Helen Smith,10484,,D,Auditor of State
Brown,Helen Smith,3598,,D,Auditor of State
Butler,Helen Smith,22553,,D,Auditor of State
Carroll,Helen Smith,3050,,D,Auditor of State
Champaign,Helen Smith,2793,,D,Auditor of State
Clark,Helen Smith,13183,,D,Auditor of State
Clermont,Helen Smith,9956,,D,Auditor of State
Clinton,Helen Smith,2526,,D,Auditor of State
Columbiana,Helen Smith,11766,,D,Auditor of State
Coshocton,Helen Smith,3513,,D,Auditor of State
Crawford,Helen Smith,3639,,D,Auditor of State
Cuyahoga,Helen Smith,179172,,D,Auditor of State
Darke,Helen Smith,4453,,D,Auditor of State
Defiance,Helen Smith,3507,,D,Auditor of State
Delaware,Helen Smith,8183,,D,Auditor of State
Erie,Helen Smith,9212,,D,Auditor of State
Fairfield,Helen Smith,9521,,D,Auditor of State
Fayette,Helen Smith,1483,,D,Auditor of State
Franklin,Helen Smith,96312,,D,Auditor of State
Fulton,Helen Smith,3017,,D,Auditor of State
Gallia,Helen Smith,3064,,D,Auditor of State
Geauga,Helen Smith,8197,,D,Auditor of State
Greene,Helen Smith,11589,,D,Auditor of State
Guernsey,Helen Smith,3682,,D,Auditor of State
Hamilton,Helen Smith,78631,,D,Auditor of State
Hancock,Helen Smith,4320,,D,Auditor of State
Hardin,Helen Smith,2512,,D,Auditor of State
Harrison,Helen Smith,2528,,D,Auditor of State
Henry,Helen Smith,2063,,D,Auditor of State
Highland,Helen Smith,3095,,D,Auditor of State
Hocking,Helen Smith,2770,,D,Auditor of State
Holmes,Helen Smith,1357,,D,Auditor of State
Huron,Helen Smith,4572,,D,Auditor of State
Jackson,Helen Smith,2821,,D,Auditor of State
Jefferson,Helen Smith,10935,,D,Auditor of State
Knox,Helen Smith,3626,,D,Auditor of State
Lake,Helen Smith,19828,,D,Auditor of State
Lawrence,Helen Smith,6452,,D,Auditor of State
Licking,Helen Smith,12668,,D,Auditor of State
Logan,Helen Smith,2912,,D,Auditor of State
Lorain,Helen Smith,30861,,D,Auditor of State
Lucas,Helen Smith,42734,,D,Auditor of State
Madison,Helen Smith,2374,,D,Auditor of State
Mahoning,Helen Smith,38102,,D,Auditor of State
Marion,Helen Smith,5154,,D,Auditor of State
Medina,Helen Smith,13320,,D,Auditor of State
Meigs,Helen Smith,2264,,D,Auditor of State
Mercer,Helen Smith,3561,,D,Auditor of State
Miami,Helen Smith,7759,,D,Auditor of State
Monroe,Helen Smith,2701,,D,Auditor of State
Montgomery,Helen Smith,55131,,D,Auditor of State
Morgan,Helen Smith,1403,,D,Auditor of State
Morrow,Helen Smith,2778,,D,Auditor of State
Muskingum,Helen Smith,6553,,D,Auditor of State
Noble,Helen Smith,1553,,D,Auditor of State
Ottawa,Helen Smith,4659,,D,Auditor of State
Paulding,Helen Smith,2217,,D,Auditor of State
Perry,Helen Smith,3360,,D,Auditor of State
Pickaway,Helen Smith,3057,,D,Auditor of State
Pike,Helen Smith,3598,,D,Auditor of State
Portage,Helen Smith,16272,,D,Auditor of State
Preble,Helen Smith,3043,,D,Auditor of State
Putnam,Helen Smith,3070,,D,Auditor of State
Richland,Helen Smith,12743,,D,Auditor of State
Ross,Helen Smith,5815,,D,Auditor of State
Sandusky,Helen Smith,5920,,D,Auditor of State
Scioto,Helen Smith,9413,,D,Auditor of State
Seneca,Helen Smith,5068,,D,Auditor of State
Shelby,Helen Smith,3962,,D,Auditor of State
Stark,Helen Smith,40579,,D,Auditor of State
Summit,Helen Smith,63182,,D,Auditor of State
Trumbull,Helen Smith,32380,,D,Auditor of State
Tuscarawas,Helen Smith,9506,,D,Auditor of State
Union,Helen Smith,2433,,D,Auditor of State
Van Wert,Helen Smith,2336,,D,Auditor of State
Vinton,Helen Smith,1389,,D,Auditor of State
Warren,Helen Smith,9957,,D,Auditor of State
Washington,Helen Smith,6492,,D,Auditor of State
Wayne,Helen Smith,8245,,D,Auditor of State
Williams,Helen Smith,3134,,D,Auditor of State
Wood,Helen Smith,9943,,D,Auditor of State
Wyandot,Helen Smith,1513,,D,Auditor of State
Adams,J. Kenneth Blackwell,4337,,R,Secretary of State
Allen,J. Kenneth Blackwell,20099,,R,Secretary of State
Ashland,J. Kenneth Blackwell,9874,,R,Secretary of State
Ashtabula,J. Kenneth Blackwell,14117,,R,Secretary of State
Athens,J. Kenneth Blackwell,7204,,R,Secretary of State
Auglaize,J. Kenneth Blackwell,9249,,R,Secretary of State
Belmont,J. Kenneth Blackwell,8107,,R,Secretary of State
Brown,J. Kenneth Blackwell,7291,,R,Secretary of State
Butler,J. Kenneth Blackwell,59962,,R,Secretary of State
Carroll,J. Kenneth Blackwell,4967,,R,Secretary of State
Champaign,J. Kenneth Blackwell,7010,,R,Secretary of State
Clark,J. Kenneth Blackwell,22496,,R,Secretary of State
Clermont,J. Kenneth Blackwell,30990,,R,Secretary of State
Clinton,J. Kenneth Blackwell,7381,,R,Secretary of State
Columbiana,J. Kenneth Blackwell,16873,,R,Secretary of State
Coshocton,J. Kenneth Blackwell,6251,,R,Secretary of State
Crawford,J. Kenneth Blackwell,8585,,R,Secretary of State
Cuyahoga,J. Kenneth Blackwell,152761,,R,Secretary of State
Darke,J. Kenneth Blackwell,11671,,R,Secretary of State
Defiance,J. Kenneth Blackwell,6379,,R,Secretary of State
Delaware,J. Kenneth Blackwell,28506,,R,Secretary of State
Erie,J. Kenneth Blackwell,12566,,R,Secretary of State
Fairfield,J. Kenneth Blackwell,26369,,R,Secretary of State
Fayette,J. Kenneth Blackwell,4588,,R,Secretary of State
Franklin,J. Kenneth Blackwell,161968,,R,Secretary of State
Fulton,J. Kenneth Blackwell,8654,,R,Secretary of State
Gallia,J. Kenneth Blackwell,5572,,R,Secretary of State
Geauga,J. Kenneth Blackwell,19847,,R,Secretary of State
Greene,J. Kenneth Blackwell,29028,,R,Secretary of State
Guernsey,J. Kenneth Blackwell,6196,,R,Secretary of State
Hamilton,J. Kenneth Blackwell,165762,,R,Secretary of State
Hancock,J. Kenneth Blackwell,15053,,R,Secretary of State
Hardin,J. Kenneth Blackwell,5147,,R,Secretary of State
Harrison,J. Kenneth Blackwell,2617,,R,Secretary of State
Henry,J. Kenneth Blackwell,6225,,R,Secretary of State
Highland,J. Kenneth Blackwell,7309,,R,Secretary of State
Hocking,J. Kenneth Blackwell,4150,,R,Secretary of State
Holmes,J. Kenneth Blackwell,4407,,R,Secretary of State
Huron,J. Kenneth Blackwell,9263,,R,Secretary of State
Jackson,J. Kenneth Blackwell,5308,,R,Secretary of State
Jefferson,J. Kenneth Blackwell,9474,,R,Secretary of State
Knox,J. Kenneth Blackwell,9547,,R,Secretary of State
Lake,J. Kenneth Blackwell,35056,,R,Secretary of State
Lawrence,J. Kenneth Blackwell,8354,,R,Secretary of State
Licking,J. Kenneth Blackwell,30942,,R,Secretary of State
Logan,J. Kenneth Blackwell,8838,,R,Secretary of State
Lorain,J. Kenneth Blackwell,37111,,R,Secretary of State
Lucas,J. Kenneth Blackwell,60404,,R,Secretary of State
Madison,J. Kenneth Blackwell,7226,,R,Secretary of State
Mahoning,J. Kenneth Blackwell,38232,,R,Secretary of State
Marion,J. Kenneth Blackwell,10869,,R,Secretary of State
Medina,J. Kenneth Blackwell,27845,,R,Secretary of State
Meigs,J. Kenneth Blackwell,4094,,R,Secretary of State
Mercer,J. Kenneth Blackwell,9559,,R,Secretary of State
Miami,J. Kenneth Blackwell,20163,,R,Secretary of State
Monroe,J. Kenneth Blackwell,1826,,R,Secretary of State
Montgomery,J. Kenneth Blackwell,95037,,R,Secretary of State
Morgan,J. Kenneth Blackwell,2935,,R,Secretary of State
Morrow,J. Kenneth Blackwell,6245,,R,Secretary of State
Muskingum,J. Kenneth Blackwell,14297,,R,Secretary of State
Noble,J. Kenneth Blackwell,2419,,R,Secretary of State
Ottawa,J. Kenneth Blackwell,8284,,R,Secretary of State
Paulding,J. Kenneth Blackwell,3485,,R,Secretary of State
Perry,J. Kenneth Blackwell,5005,,R,Secretary of State
Pickaway,J. Kenneth Blackwell,7552,,R,Secretary of State
Pike,J. Kenneth Blackwell,3603,,R,Secretary of State
Portage,J. Kenneth Blackwell,20719,,R,Secretary of State
Preble,J. Kenneth Blackwell,7586,,R,Secretary of State
Putnam,J. Kenneth Blackwell,8112,,R,Secretary of State
Richland,J. Kenneth Blackwell,21962,,R,Secretary of State
Ross,J. Kenneth Blackwell,10217,,R,Secretary of State
Sandusky,J. Kenneth Blackwell,11320,,R,Secretary of State
Scioto,J. Kenneth Blackwell,10964,,R,Secretary of State
Seneca,J. Kenneth Blackwell,10436,,R,Secretary of State
Shelby,J. Kenneth Blackwell,9240,,R,Secretary of State
Stark,J. Kenneth Blackwell,61743,,R,Secretary of State
Summit,J. Kenneth Blackwell,79863,,R,Secretary of State
Trumbull,J. Kenneth Blackwell,31787,,R,Secretary of State
Tuscarawas,J. Kenneth Blackwell,13523,,R,Secretary of State
Union,J. Kenneth Blackwell,8941,,R,Secretary of State
Van Wert,J. Kenneth Blackwell,6207,,R,Secretary of State
Vinton,J. Kenneth Blackwell,1996,,R,Secretary of State
Warren,J. Kenneth Blackwell,36254,,R,Secretary of State
Washington,J. Kenneth Blackwell,10315,,R,Secretary of State
Wayne,J. Kenneth Blackwell,20127,,R,Secretary of State
Williams,J. Kenneth Blackwell,7242,,R,Secretary of State
Wood,J. Kenneth Blackwell,22555,,R,Secretary of State
Wyandot,J. Kenneth Blackwell,4345,,R,Secretary of State
Adams,Bryan Flannery,2353,,D,Secretary of State
Allen,Bryan Flannery,8940,,D,Secretary of State
Ashland,Bryan Flannery,4614,,D,Secretary of State
Ashtabula,Bryan Flannery,12089,,D,Secretary of State
Athens,Bryan Flannery,8360,,D,Secretary of State
Auglaize,Bryan Flannery,3749,,D,Secretary of State
Belmont,Bryan Flannery,11695,,D,Secretary of State
Brown,Bryan Flannery,3998,,D,Secretary of State
Butler,Bryan Flannery,25184,,D,Secretary of State
Carroll,Bryan Flannery,3454,,D,Secretary of State
Champaign,Bryan Flannery,3290,,D,Secretary of State
Clark,Bryan Flannery,15070,,D,Secretary of State
Clermont,Bryan Flannery,11340,,D,Secretary of State
Clinton,Bryan Flannery,2749,,D,Secretary of State
Columbiana,Bryan Flannery,12757,,D,Secretary of State
Coshocton,Bryan Flannery,3673,,D,Secretary of State
Crawford,Bryan Flannery,4257,,D,Secretary of State
Cuyahoga,Bryan Flannery,200085,,D,Secretary of State
Darke,Bryan Flannery,5094,,D,Secretary of State
Defiance,Bryan Flannery,4185,,D,Secretary of State
Delaware,Bryan Flannery,9492,,D,Secretary of State
Erie,Bryan Flannery,11264,,D,Secretary of State
Fairfield,Bryan Flannery,11251,,D,Secretary of State
Fayette,Bryan Flannery,1774,,D,Secretary of State
Franklin,Bryan Flannery,103438,,D,Secretary of State
Fulton,Bryan Flannery,3816,,D,Secretary of State
Gallia,Bryan Flannery,3265,,D,Secretary of State
Geauga,Bryan Flannery,10154,,D,Secretary of State
Greene,Bryan Flannery,12690,,D,Secretary of State
Guernsey,Bryan Flannery,4198,,D,Secretary of State
Hamilton,Bryan Flannery,77504,,D,Secretary of State
Hancock,Bryan Flannery,4799,,D,Secretary of State
Hardin,Bryan Flannery,2923,,D,Secretary of State
Harrison,Bryan Flannery,2887,,D,Secretary of State
Henry,Bryan Flannery,2621,,D,Secretary of State
Highland,Bryan Flannery,3505,,D,Secretary of State
Hocking,Bryan Flannery,3215,,D,Secretary of State
Holmes,Bryan Flannery,1425,,D,Secretary of State
Huron,Bryan Flannery,5203,,D,Secretary of State
Jackson,Bryan Flannery,3191,,D,Secretary of State
Jefferson,Bryan Flannery,12655,,D,Secretary of State
Knox,Bryan Flannery,4019,,D,Secretary of State
Lake,Bryan Flannery,24391,,D,Secretary of State
Lawrence,Bryan Flannery,6547,,D,Secretary of State
Licking,Bryan Flannery,14630,,D,Secretary of State
Logan,Bryan Flannery,3362,,D,Secretary of State
Lorain,Bryan Flannery,36772,,D,Secretary of State
Lucas,Bryan Flannery,54632,,D,Secretary of State
Madison,Bryan Flannery,2937,,D,Secretary of State
Mahoning,Bryan Flannery,41992,,D,Secretary of State
Marion,Bryan Flannery,6118,,D,Secretary of State
Medina,Bryan Flannery,16395,,D,Secretary of State
Meigs,Bryan Flannery,2387,,D,Secretary of State
Mercer,Bryan Flannery,4394,,D,Secretary of State
Miami,Bryan Flannery,8700,,D,Secretary of State
Monroe,Bryan Flannery,2952,,D,Secretary of State
Montgomery,Bryan Flannery,60451,,D,Secretary of State
Morgan,Bryan Flannery,1477,,D,Secretary of State
Morrow,Bryan Flannery,3062,,D,Secretary of State
Muskingum,Bryan Flannery,7375,,D,Secretary of State
Noble,Bryan Flannery,1667,,D,Secretary of State
Ottawa,Bryan Flannery,6070,,D,Secretary of State
Paulding,Bryan Flannery,2525,,D,Secretary of State
Perry,Bryan Flannery,3755,,D,Secretary of State
Pickaway,Bryan Flannery,3629,,D,Secretary of State
Pike,Bryan Flannery,3908,,D,Secretary of State
Portage,Bryan Flannery,18835,,D,Secretary of State
Preble,Bryan Flannery,3588,,D,Secretary of State
Putnam,Bryan Flannery,3621,,D,Secretary of State
Richland,Bryan Flannery,14010,,D,Secretary of State
Ross,Bryan Flannery,6858,,D,Secretary of State
Sandusky,Bryan Flannery,6941,,D,Secretary of State
Scioto,Bryan Flannery,10358,,D,Secretary of State
Seneca,Bryan Flannery,5578,,D,Secretary of State
Shelby,Bryan Flannery,4697,,D,Secretary of State
Stark,Bryan Flannery,47613,,D,Secretary of State
Summit,Bryan Flannery,71550,,D,Secretary of State
Trumbull,Bryan Flannery,36185,,D,Secretary of State
Tuscarawas,Bryan Flannery,10492,,D,Secretary of State
Union,Bryan Flannery,2929,,D,Secretary of State
Van Wert,Bryan Flannery,2560,,D,Secretary of State
Vinton,Bryan Flannery,1574,,D,Secretary of State
Warren,Bryan Flannery,12020,,D,Secretary of State
Washington,Bryan Flannery,6914,,D,Secretary of State
Wayne,Bryan Flannery,9069,,D,Secretary of State
Williams,Bryan Flannery,3521,,D,Secretary of State
Wood,Bryan Flannery,13406,,D,Secretary of State
Wyandot,Bryan Flannery,1756,,D,Secretary of State
Adams,Mary Boyle,2494,,D,Treasure of State
Allen,Mary Boyle,9481,,D,Treasure of State
Ashland,Mary Boyle,5247,,D,Treasure of State
Ashtabula,Mary Boyle,14407,,D,Treasure of State
Athens,Mary Boyle,9638,,D,Treasure of State
Auglaize,Mary Boyle,4291,,D,Treasure of State
Belmont,Mary Boyle,12779,,D,Treasure of State
Brown,Mary Boyle,4045,,D,Treasure of State
Butler,Mary Boyle,25749,,D,Treasure of State
Carroll,Mary Boyle,3932,,D,Treasure of State
Champaign,Mary Boyle,3754,,D,Treasure of State
Clark,Mary Boyle,16470,,D,Treasure of State
Clermont,Mary Boyle,11351,,D,Treasure of State
Clinton,Mary Boyle,3067,,D,Treasure of State
Columbiana,Mary Boyle,14564,,D,Treasure of State
Coshocton,Mary Boyle,4286,,D,Treasure of State
Crawford,Mary Boyle,5365,,D,Treasure of State
Cuyahoga,Mary Boyle,233262,,D,Treasure of State
Darke,Mary Boyle,5807,,D,Treasure of State
Defiance,Mary Boyle,4337,,D,Treasure of State
Delaware,Mary Boyle,11251,,D,Treasure of State
Erie,Mary Boyle,12745,,D,Treasure of State
Fairfield,Mary Boyle,13526,,D,Treasure of State
Fayette,Mary Boyle,2060,,D,Treasure of State
Franklin,Mary Boyle,121953,,D,Treasure of State
Fulton,Mary Boyle,4546,,D,Treasure of State
Gallia,Mary Boyle,3810,,D,Treasure of State
Geauga,Mary Boyle,12690,,D,Treasure of State
Greene,Mary Boyle,15380,,D,Treasure of State
Guernsey,Mary Boyle,4997,,D,Treasure of State
Hamilton,Mary Boyle,86444,,D,Treasure of State
Hancock,Mary Boyle,5543,,D,Treasure of State
Hardin,Mary Boyle,3210,,D,Treasure of State
Harrison,Mary Boyle,3335,,D,Treasure of State
Henry,Mary Boyle,3043,,D,Treasure of State
Highland,Mary Boyle,3661,,D,Treasure of State
Hocking,Mary Boyle,3594,,D,Treasure of State
Holmes,Mary Boyle,1873,,D,Treasure of State
Huron,Mary Boyle,6312,,D,Treasure of State
Jackson,Mary Boyle,3594,,D,Treasure of State
Jefferson,Mary Boyle,13543,,D,Treasure of State
Knox,Mary Boyle,4971,,D,Treasure of State
Lake,Mary Boyle,30546,,D,Treasure of State
Lawrence,Mary Boyle,7132,,D,Treasure of State
Licking,Mary Boyle,17721,,D,Treasure of State
Logan,Mary Boyle,3899,,D,Treasure of State
Lorain,Mary Boyle,42999,,D,Treasure of State
Lucas,Mary Boyle,65365,,D,Treasure of State
Madison,Mary Boyle,3359,,D,Treasure of State
Mahoning,Mary Boyle,47412,,D,Treasure of State
Marion,Mary Boyle,6866,,D,Treasure of State
Medina,Mary Boyle,19889,,D,Treasure of State
Meigs,Mary Boyle,2866,,D,Treasure of State
Mercer,Mary Boyle,5297,,D,Treasure of State
Miami,Mary Boyle,9631,,D,Treasure of State
Monroe,Mary Boyle,3211,,D,Treasure of State
Montgomery,Mary Boyle,73720,,D,Treasure of State
Morgan,Mary Boyle,1737,,D,Treasure of State
Morrow,Mary Boyle,3580,,D,Treasure of State
Muskingum,Mary Boyle,8521,,D,Treasure of State
Noble,Mary Boyle,2028,,D,Treasure of State
Ottawa,Mary Boyle,6875,,D,Treasure of State
Paulding,Mary Boyle,2705,,D,Treasure of State
Perry,Mary Boyle,4223,,D,Treasure of State
Pickaway,Mary Boyle,4129,,D,Treasure of State
Pike,Mary Boyle,4224,,D,Treasure of State
Portage,Mary Boyle,22419,,D,Treasure of State
Preble,Mary Boyle,3894,,D,Treasure of State
Putnam,Mary Boyle,3531,,D,Treasure of State
Richland,Mary Boyle,16771,,D,Treasure of State
Ross,Mary Boyle,8003,,D,Treasure of State
Sandusky,Mary Boyle,7930,,D,Treasure of State
Scioto,Mary Boyle,11582,,D,Treasure of State
Seneca,Mary Boyle,6851,,D,Treasure of State
Shelby,Mary Boyle,5440,,D,Treasure of State
Stark,Mary Boyle,55167,,D,Treasure of State
Summit,Mary Boyle,87147,,D,Treasure of State
Trumbull,Mary Boyle,40150,,D,Treasure of State
Tuscarawas,Mary Boyle,13732,,D,Treasure of State
Union,Mary Boyle,3461,,D,Treasure of State
Van Wert,Mary Boyle,2991,,D,Treasure of State
Vinton,Mary Boyle,1764,,D,Treasure of State
Warren,Mary Boyle,12154,,D,Treasure of State
Washington,Mary Boyle,8022,,D,Treasure of State
Wayne,Mary Boyle,11638,,D,Treasure of State
Williams,Mary Boyle,4006,,D,Treasure of State
Wood,Mary Boyle,15894,,D,Treasure of State
Wyandot,Mary Boyle,2224,,D,Treasure of State
Adams,Joseph Deters,4295,,R,Treasure of State
Allen,Joseph Deters,19716,,R,Treasure of State
Ashland,Joseph Deters,9326,,R,Treasure of State
Ashtabula,Joseph Deters,12143,,R,Treasure of State
Athens,Joseph Deters,6042,,R,Treasure of State
Auglaize,Joseph Deters,8903,,R,Treasure of State
Belmont,Joseph Deters,7346,,R,Treasure of State
Brown,Joseph Deters,7318,,R,Treasure of State
Butler,Joseph Deters,60170,,R,Treasure of State
Carroll,Joseph Deters,4582,,R,Treasure of State
Champaign,Joseph Deters,6693,,R,Treasure of State
Clark,Joseph Deters,21435,,R,Treasure of State
Clermont,Joseph Deters,31668,,R,Treasure of State
Clinton,Joseph Deters,7165,,R,Treasure of State
Columbiana,Joseph Deters,15365,,R,Treasure of State
Coshocton,Joseph Deters,5607,,R,Treasure of State
Crawford,Joseph Deters,7592,,R,Treasure of State
Cuyahoga,Joseph Deters,129082,,R,Treasure of State
Darke,Joseph Deters,11140,,R,Treasure of State
Defiance,Joseph Deters,6100,,R,Treasure of State
Delaware,Joseph Deters,27019,,R,Treasure of State
Erie,Joseph Deters,11359,,R,Treasure of State
Fairfield,Joseph Deters,24393,,R,Treasure of State
Fayette,Joseph Deters,4376,,R,Treasure of State
Franklin,Joseph Deters,145722,,R,Treasure of State
Fulton,Joseph Deters,8031,,R,Treasure of State
Gallia,Joseph Deters,5070,,R,Treasure of State
Geauga,Joseph Deters,17824,,R,Treasure of State
Greene,Joseph Deters,26763,,R,Treasure of State
Guernsey,Joseph Deters,5526,,R,Treasure of State
Hamilton,Joseph Deters,158180,,R,Treasure of State
Hancock,Joseph Deters,14361,,R,Treasure of State
Hardin,Joseph Deters,4829,,R,Treasure of State
Harrison,Joseph Deters,2225,,R,Treasure of State
Henry,Joseph Deters,5804,,R,Treasure of State
Highland,Joseph Deters,7222,,R,Treasure of State
Hocking,Joseph Deters,3846,,R,Treasure of State
Holmes,Joseph Deters,4005,,R,Treasure of State
Huron,Joseph Deters,8307,,R,Treasure of State
Jackson,Joseph Deters,4970,,R,Treasure of State
Jefferson,Joseph Deters,9055,,R,Treasure of State
Knox,Joseph Deters,8730,,R,Treasure of State
Lake,Joseph Deters,31114,,R,Treasure of State
Lawrence,Joseph Deters,7850,,R,Treasure of State
Licking,Joseph Deters,28501,,R,Treasure of State
Logan,Joseph Deters,8447,,R,Treasure of State
Lorain,Joseph Deters,32303,,R,Treasure of State
Lucas,Joseph Deters,52607,,R,Treasure of State
Madison,Joseph Deters,6933,,R,Treasure of State
Mahoning,Joseph Deters,33954,,R,Treasure of State
Marion,Joseph Deters,10246,,R,Treasure of State
Medina,Joseph Deters,25191,,R,Treasure of State
Meigs,Joseph Deters,3616,,R,Treasure of State
Mercer,Joseph Deters,8850,,R,Treasure of State
Miami,Joseph Deters,19426,,R,Treasure of State
Monroe,Joseph Deters,1670,,R,Treasure of State
Montgomery,Joseph Deters,83777,,R,Treasure of State
Morgan,Joseph Deters,2726,,R,Treasure of State
Morrow,Joseph Deters,5814,,R,Treasure of State
Muskingum,Joseph Deters,13466,,R,Treasure of State
Noble,Joseph Deters,2101,,R,Treasure of State
Ottawa,Joseph Deters,7566,,R,Treasure of State
Paulding,Joseph Deters,3276,,R,Treasure of State
Perry,Joseph Deters,4647,,R,Treasure of State
Pickaway,Joseph Deters,7303,,R,Treasure of State
Pike,Joseph Deters,3382,,R,Treasure of State
Portage,Joseph Deters,17687,,R,Treasure of State
Preble,Joseph Deters,7422,,R,Treasure of State
Putnam,Joseph Deters,8398,,R,Treasure of State
Richland,Joseph Deters,19844,,R,Treasure of State
Ross,Joseph Deters,9503,,R,Treasure of State
Sandusky,Joseph Deters,10383,,R,Treasure of State
Scioto,Joseph Deters,9848,,R,Treasure of State
Seneca,Joseph Deters,9320,,R,Treasure of State
Shelby,Joseph Deters,8856,,R,Treasure of State
Stark,Joseph Deters,55497,,R,Treasure of State
Summit,Joseph Deters,65668,,R,Treasure of State
Trumbull,Joseph Deters,28584,,R,Treasure of State
Tuscarawas,Joseph Deters,10537,,R,Treasure of State
Union,Joseph Deters,8494,,R,Treasure of State
Van Wert,Joseph Deters,5863,,R,Treasure of State
Vinton,Joseph Deters,1853,,R,Treasure of State
