county,candidate,party,office,district,votes,pct
Shelby,Patrick Flower,,U.S. Senate,,0,0.00%
Shelby,John Mcalister,L,U.S. Senate,,537,2.73%
Stark,Ted Celeste,D,U.S. Senate,,54351,33.33%
Stark,Mike Dewine,R,U.S. Senate,,95570,58.61%
Stark,John Eastman,N,U.S. Senate,,2374,1.46%
Stark,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Stark,Patrick Flower,,U.S. Senate,,0,0.00%
Stark,John Mcalister,L,U.S. Senate,,3789,2.32%
Summit,Ted Celeste,D,U.S. Senate,,87933,37.86%
Summit,Mike Dewine,R,U.S. Senate,,122148,52.59%
Summit,John Eastman,N,U.S. Senate,,3198,1.38%
Summit,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Summit,Patrick Flower,,U.S. Senate,,0,0.00%
Summit,John Mcalister,L,U.S. Senate,,5208,2.24%
Trumbull,Ted Celeste,D,U.S. Senate,,41444,42.10%
Trumbull,Mike Dewine,R,U.S. Senate,,39137,39.76%
Trumbull,John Eastman,N,U.S. Senate,,1462,1.49%
Trumbull,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Trumbull,Patrick Flower,,U.S. Senate,,0,0.00%
Trumbull,John Mcalister,L,U.S. Senate,,2064,2.10%
Tuscarawas,Ted Celeste,D,U.S. Senate,,13124,34.31%
Tuscarawas,Mike Dewine,R,U.S. Senate,,21076,55.11%
Tuscarawas,John Eastman,N,U.S. Senate,,557,1.46%
Tuscarawas,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Tuscarawas,Patrick Flower,,U.S. Senate,,0,0.00%
Tuscarawas,John Mcalister,L,U.S. Senate,,861,2.25%
Union,Ted Celeste,D,U.S. Senate,,5127,29.66%
Union,Mike Dewine,R,U.S. Senate,,9453,54.68%
Union,John Eastman,N,U.S. Senate,,540,3.12%
Union,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Union,Patrick Flower,,U.S. Senate,,1,0.01%
Union,John Mcalister,L,U.S. Senate,,1307,7.56%
Van Wert,Ted Celeste,D,U.S. Senate,,3416,25.36%
Van Wert,Mike Dewine,R,U.S. Senate,,8954,66.47%
Van Wert,John Eastman,N,U.S. Senate,,192,1.43%
Van Wert,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Van Wert,Patrick Flower,,U.S. Senate,,0,0.00%
Van Wert,John Mcalister,L,U.S. Senate,,327,2.43%
Vinton,Ted Celeste,D,U.S. Senate,,1737,33.51%
Vinton,Mike Dewine,R,U.S. Senate,,2764,53.32%
Vinton,John Eastman,N,U.S. Senate,,82,1.58%
Vinton,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Vinton,Patrick Flower,,U.S. Senate,,0,0.00%
Vinton,John Mcalister,L,U.S. Senate,,130,2.51%
Warren,Ted Celeste,D,U.S. Senate,,13546,19.32%
Warren,Mike Dewine,R,U.S. Senate,,51135,72.94%
Warren,John Eastman,N,U.S. Senate,,821,1.17%
Warren,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Warren,Patrick Flower,,U.S. Senate,,0,0.00%
Warren,John Mcalister,L,U.S. Senate,,1776,2.53%
Washington,Ted Celeste,D,U.S. Senate,,8858,32.71%
Washington,Mike Dewine,R,U.S. Senate,,15574,57.51%
Washington,John Eastman,N,U.S. Senate,,321,1.19%
Washington,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Washington,Patrick Flower,,U.S. Senate,,0,0.00%
Washington,John Mcalister,L,U.S. Senate,,655,2.42%
Wayne,Ted Celeste,D,U.S. Senate,,11000,25.49%
Wayne,Mike Dewine,R,U.S. Senate,,28511,66.07%
Wayne,John Eastman,N,U.S. Senate,,582,1.35%
Wayne,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Wayne,Patrick Flower,,U.S. Senate,,0,0.00%
Wayne,John Mcalister,L,U.S. Senate,,1033,2.39%
Williams,Ted Celeste,D,U.S. Senate,,3980,24.61%
Williams,Mike Dewine,R,U.S. Senate,,10820,66.91%
Williams,John Eastman,N,U.S. Senate,,289,1.79%
Williams,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Williams,Patrick Flower,,U.S. Senate,,0,0.00%
Williams,John Mcalister,L,U.S. Senate,,350,2.16%
Wood,Ted Celeste,D,U.S. Senate,,16333,30.91%
Wood,Mike Dewine,R,U.S. Senate,,32097,60.75%
Wood,John Eastman,N,U.S. Senate,,716,1.36%
Wood,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Wood,Patrick Flower,,U.S. Senate,,0,0.00%
Wood,John Mcalister,L,U.S. Senate,,1281,2.42%
Wyandot,Ted Celeste,D,U.S. Senate,,2347,23.33%
Wyandot,Mike Dewine,R,U.S. Senate,,6803,67.63%
Wyandot,John Eastman,N,U.S. Senate,,167,1.66%
Wyandot,Michael Fitzsimmons,,U.S. Senate,,0,0.00%
Wyandot,Patrick Flower,,U.S. Senate,,0,0.00%
Wyandot,John Mcalister,L,U.S. Senate,,290,2.88%
